Word,KnownWordQ,CommonWordQ,StopWordQ
0,True,False,True
1,True,False,True
10,True,False,False
100,True,False,False
1000,True,False,False
10000,True,False,False
100000,True,False,False
1000000,True,False,False
1000000000,True,False,False
1000000000000,True,False,False
1000th,True,False,False
100th,True,False,False
101,True,False,False
101st,True,False,False
105,True,False,False
105th,True,False,False
10-membered,True,False,False
10th,True,False,False
11,True,False,False
110,True,False,False
110th,True,False,False
115,True,False,False
115th,True,False,False
11-plus,True,False,False
11th,True,False,False
12,True,False,False
120,True,False,False
120th,True,False,False
125,True,False,False
125th,True,False,False
12th,True,False,False
13,True,False,False
130,True,False,False
130th,True,False,False
135,True,False,False
135th,True,False,False
13th,True,False,False
14,True,False,False
140,True,False,False
140th,True,False,False
144,True,False,False
145,True,False,False
145th,True,False,False
14th,True,False,False
15,True,False,False
150,True,False,False
150th,True,False,False
1530s,True,False,False
155,True,False,False
155th,True,False,False
15th,True,False,False
16,True,False,False
160,True,False,False
160th,True,False,False
165,True,False,False
165th,True,False,False
16th,True,False,False
17,True,False,False
170,True,False,False
170th,True,False,False
1728,True,False,False
175,True,False,False
1750s,True,False,False
175th,True,False,False
1760s,True,False,False
1770s,True,False,False
1780s,True,False,False
1790s,True,False,False
17th,True,False,False
18,True,False,False
180,True,False,False
180th,True,False,False
1820s,True,False,False
1830s,True,False,False
1840s,True,False,False
1850s,True,False,False
1860s,True,False,False
1870s,True,False,False
1880s,True,False,False
1890s,True,False,False
18th,True,False,False
19,True,False,False
190,True,False,False
1900s,True,False,False
190th,True,False,False
1920s,True,False,False
1930s,True,False,False
1940s,True,False,False
1950s,True,False,False
1960s,True,False,False
1970s,True,False,False
1980s,True,False,False
1990s,True,False,False
19th,True,False,False
1-dodecanol,True,False,False
1-hitter,True,False,False
1st,True,False,False
2,True,False,True
20,True,False,False
200,True,False,False
200th,True,False,False
20/20,True,False,False
20th,True,False,False
21,True,False,False
21st,True,False,False
.22,True,False,False
22,True,False,False
.22-caliber,True,False,False
.22-calibre,True,False,False
22nd,True,False,False
23,True,False,False
23rd,True,False,False
24,True,False,False
24/7,True,False,False
24th,True,False,False
25,True,False,False
25th,True,False,False
26,True,False,False
26th,True,False,False
27,True,False,False
27th,True,False,False
28,True,False,False
28th,True,False,False
29,True,False,False
29th,True,False,False
2d,True,False,False
2-dimensional,True,False,False
2-hitter,True,False,False
2nd,True,False,False
3,True,False,True
30,True,False,False
300,True,False,False
300th,True,False,False
30th,True,False,False
31,True,False,False
31st,True,False,False
32,True,False,False
32nd,True,False,False
33,True,False,False
33rd,True,False,False
34,True,False,False
34th,True,False,False
35,True,False,False
35th,True,False,False
36,True,False,False
36th,True,False,False
37,True,False,False
37th,True,False,False
38,True,False,False
.38-caliber,True,False,False
.38-calibre,True,False,False
38th,True,False,False
39,True,False,False
39th,True,False,False
3-D,True,False,False
3D,True,False,False
3-dimensional,True,False,False
3-hitter,True,False,False
3-membered,True,False,False
3rd,True,False,False
3TC,True,False,False
4,True,False,True
40,True,False,False
400,True,False,False
400th,True,False,False
401-k,True,False,False
40th,True,False,False
41,True,False,False
41st,True,False,False
42,True,False,False
42nd,True,False,False
43,True,False,False
43rd,True,False,False
44,True,False,False
44th,True,False,False
45,True,False,False
.45-caliber,True,False,False
.45-calibre,True,False,False
45th,True,False,False
46,True,False,False
46th,True,False,False
47,True,False,False
47th,True,False,False
48,True,False,False
48th,True,False,False
49,True,False,False
49th,True,False,False
4-dimensional,True,False,False
4-hitter,True,False,False
4-membered,True,False,False
4th,True,False,False
4to,True,False,False
4WD,True,False,False
5,True,False,True
50,True,False,False
500,True,False,False
500th,True,False,False
50th,True,False,False
51,True,False,False
52,True,False,False
53,True,False,False
54,True,False,False
55,True,False,False
55th,True,False,False
56,True,False,False
57,True,False,False
58,True,False,False
59,True,False,False
5-hitter,True,False,False
5-hydroxytryptamine,True,False,False
5-membered,True,False,False
5th,True,False,False
6,True,False,True
60,True,False,False
60th,True,False,False
61,True,False,False
62,True,False,False
63,True,False,False
64,True,False,False
64th,True,False,False
65,True,False,False
65th,True,False,False
66,True,False,False
67,True,False,False
68,True,False,False
69,True,False,False
6-membered,True,False,False
6th,True,False,False
7,True,False,True
70,True,False,False
70th,True,False,False
71,True,False,False
72,True,False,False
73,True,False,False
74,True,False,False
75,True,False,False
75th,True,False,False
76,True,False,False
77,True,False,False
78,True,False,False
79,True,False,False
7-membered,True,False,False
7th,True,False,False
8,True,False,True
80,True,False,False
80th,True,False,False
81,True,False,False
82,True,False,False
83,True,False,False
84,True,False,False
85,True,False,False
85th,True,False,False
86,True,False,False
87,True,False,False
88,True,False,False
89,True,False,False
8-membered,True,False,False
8th,True,False,False
8vo,True,False,False
9,True,False,True
90,True,False,False
90th,True,False,False
91,True,False,False
9-11,True,False,False
9/11,True,False,False
92,True,False,False
93,True,False,False
94,True,False,False
95,True,False,False
95th,True,False,False
96,True,False,False
97,True,False,False
98,True,False,False
99,True,False,False
9-membered,True,False,False
9th,True,False,False
a,True,True,True
A,True,False,True
aa,True,False,False
AA,True,False,False
AAA,True,False,False
Aachen,True,False,False
aah,True,True,False
Aalborg,True,False,False
aalii,True,False,False
Aalst,True,False,False
Aalto,True,False,False
Aar,True,False,False
aardvark,True,True,False
aardwolf,True,False,False
Aare,True,False,False
Aarhus,True,False,False
Aaron,True,False,False
AARP,True,False,False
AAS,True,False,False
AAVE,True,False,False
ab,True,False,False
Ab,True,False,False
AB,True,False,False
aba,True,False,False
abaca,True,False,False
abacinate,True,False,False
aback,True,True,False
abactinal,True,False,False
abacus,True,True,False
Abadan,True,False,False
abaft,True,True,False
abalone,True,True,False
abamp,True,False,False
abampere,True,False,False
abandon,True,True,False
abandoned,True,True,False
abandonment,True,True,False
abarticulation,True,False,False
abase,True,True,False
abasement,True,True,False
abash,True,True,False
abashed,True,True,False
abashment,True,True,False
abasia,True,False,False
abasic,True,False,False
abatable,True,False,False
abate,True,True,False
abatement,True,True,False
abatic,True,False,False
abatis,True,False,False
abator,True,False,False
abattis,True,False,False
abattoir,True,True,False
abaxial,True,False,False
abaxially,True,False,False
abaya,True,False,False
ABB,True,False,False
abbacy,True,False,False
abbatial,True,False,False
abbe,True,True,False
abbess,True,True,False
abbey,True,True,False
abbot,True,True,False
abbreviate,True,True,False
abbreviated,True,True,False
abbreviation,True,True,False
abbreviator,True,False,False
ABC,True,False,False
abcoulomb,True,False,False
ABC's,True,False,False
ABCs,True,False,False
Abdias,True,False,False
abdicable,True,False,False
abdicate,True,True,False
abdication,True,True,False
abdicator,True,False,False
abdomen,True,True,False
abdominal,True,True,False
abdominocentesis,True,False,False
abdominoplasty,True,False,False
abdominous,True,False,False
abdominousness,True,False,False
abdominovesical,True,False,False
abduce,True,False,False
abducens,True,False,False
abducent,True,False,False
abduct,True,True,False
abducting,True,True,False
abduction,True,True,False
abductor,True,True,False
abeam,True,True,False
abecedarian,True,False,False
