"Date","Description","Amount","Transaction.Type","Category","Account.Name"
2012-11-12,"CHECKCARD 11/12 PEOPLES COFFEE AND TEA BERKELEY CA",5.75,"debit","Coffee Shops","Hour Monet 7291"
2012-11-12,"CHECKCARD TORCH OF INDIA VACAVILLE CA ON 11/09",33.05,"debit","Restaurants","Hour Monet 7291"
2012-11-12,"COUNTRY CHEESE COFFEE 11/11 #231629492202 PURCHASE COUNTRY CHEESE COFFEE M BERKELEY CA",18.92,"debit","Groceries","Hour Monet 7291"
2012-11-12,"CHECKCARD 11/10 FASTRAK REBILL 877-2298655 CA",25,"debit","Auto & Transport","Hour Monet 7291"
2012-11-12,"CHECKCARD 11/11 ZIPCAR INC CAMBRIDGE MA",287.42,"debit","Rental Car & Taxi","Hour Monet 7291"
2012-11-12,"MONTEREY MARKET 11/11 #231600060047 PURCHASE 1550 HOPKINS STREET BERKELEY CA",33.4,"debit","Groceries","Hour Monet 7291"
2012-11-12,"SAFEWAY STORE 1954 11/10 #231501949157 PURCHASE 2275 PINE STREET REDDING CA",11.87,"debit","Groceries","Hour Monet 7291"
2012-11-12,"CHECKCARD 11/11 WAYSIDE NOODLES SACRAMENTO CA",12.39,"debit","Restaurants","Hour Monet 7291"
2012-11-12,"CHECKCARD 11/11 THE CHEESE BOARD COLLE BERKELEY CA",10.5,"debit","Groceries","Hour Monet 7291"
2012-11-12,"BOARDMART SNOW SURF & 11/10 #231501039841 PURCHASE 1261 MARKET ST REDDING CA",54.59,"debit","Groceries","Hour Monet 7291"
2012-11-12,"SAFEWAY STORE 1954 11/10 #231501949169 PURCHASE 2275 PINE STREET REDDING CA",10.54,"debit","Groceries","Hour Monet 7291"
2012-11-12,"CHECKCARD AU COQUELET CAFE BERKELEY CA ON 11/07",4.24,"debit","Coffee Shops","Hour Monet 7291"
2012-11-12,"SQ FIVE STAR VIDEO 15",6,"debit","Movies & DVDs","BankAmericard Cash Rewards Signature Visa"
2012-11-10,"SEBMF ONLINE BILL PAY",132.84,"debit","Bills & Utilities","BankAmericard Cash Rewards Signature Visa"
2012-11-09,"CHECKCARD 1108 UCB HOUSING & DINING SV BERKELEY CA 24391212314207968201004",5.25,"debit","Restaurants","Hour Monet 7291"
2012-11-08,"CHECKCARD 1106 YALIS CAFE BERKELEY CA 24692162312000774152890",3.25,"debit","Coffee Shops","Hour Monet 7291"
2012-11-08,"BKOFAMERICA ATM 11/08 #000009042 WITHDRWL SHATTUCK-VINE BERKELEY CA",40,"debit","Cash & ATM","Hour Monet 7291"
2012-11-08,"SAFEWAY STORE 11/08 #000082046 PURCHASE 1444 SHATTUCK PLA BERKELEY CA",28.99,"debit","Groceries","Hour Monet 7291"
2012-11-08,"FIVE STAR VIDEO OF ALA",6,"debit","Movies & DVDs","BankAmericard Cash Rewards Signature Visa"
2012-11-07,"CHECKCARD 1105 GREEN EARTH CAFE & BAK BERKELEY CA 24071052311158191791586",15.32,"debit","Restaurants","Hour Monet 7291"
2012-11-06,"UC Berkeley DES:DIRECT PAY ID:ST23256150 INDN:0000SAVAGE,VALKYRIE AR CO...",2500,"credit","Paycheck","Hour Monet 7291"
